,Spanish dataset,,,,,,,English dataset,,,,
#id,name_ES,Human Annotator 1,Human Annotator 2,Agreement_ES,comments,,#id,name_EN,Human Annotator 1,Human Annotator 2,Agreement_EN,comments
0,terceros,Third party,Third party,Third party,,,0,user,Users,Synonymous,Synonymous,
1,sensibles,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,1,consumers,Users,Users,Users,
2,ciudadanos,Users,Third party,Users,,,2,personal,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,
3,ilegalmente,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,3,peoples,Users,Users,Users,
4,usurarios,Users,Synonymous,Synonymous,,,4,subscribers,Users,Users,Users,
5,autorizacion,Ownership agency,Ownership agency,Ownership agency,,,5,customers,Users,Third party,Third party,
6,perfiles,Data & Information,Data & Information,Data & Information,,,6,people,Users,Users,Users,
7,personales,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,7,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,
8,utilizados,Action,Undetermined,Action,,,8,data,Data & Information,Data & Information,Data & Information,
9,personas,Users,Users,Users,,,9,fb,Companies and Organizations,Companies and Organizations,Companies and Organizations,
10,ilegal,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,10,apps,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
11,clientes,Users,Third party,Third party,las empresas pueden ser cleintes,,11,individuals,Users,Users,Third party,
12,usuario,Users,Synonymous,Synonymous,,,12,advertisers,Companies and Organizations,Companies and Organizations,Companies and Organizations,
13,indebidamente,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,13,privacy,Privacy and security terms,Privacy and security terms,Privacy and security terms,
14,obtenidos,"Data Collection, handling and/or storage",Undetermined,"Data Collection, handling and/or storage",,,14,information,Data & Information,Data & Information,Data & Information,
15,nametests,"Data Collection, handling and/or storage",Companies and Organizations,"Data Collection, handling and/or storage",,,15,app,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
16,informacion,Data & Information,Data & Information,Data & Information,,,16,citizens,Users,Users,Users,
17,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,17,profiles,Data & Information,Data & Information,Data & Information,
18,datos,Data & Information,Data & Information,Data & Information,,,18,companies,Companies and Organizations,Companies and Organizations,Companies and Organizations,
19,votantes,Third party,Third party,Third party,,,19,collected,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
20,cambridgeanalytics,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,20,private,Attribute or characteristic,Privacy and security terms,Attribute or characteristic,
21,violacion,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,21,consent,Ownership agency,Ownership agency,Ownership agency,
22,usan,Action,Action,Action,,,22,accounts,Data & Information,Data & Information,Data & Information,
23,fines,Undetermined,Undetermined,Undetermined,,,23,permissions,Ownership agency,Users,Ownership agency,
24,autorizada,Ownership agency,Ownership agency,Ownership agency,,,24,use,Action,Action,Action,
25,autorizados,Ownership agency,Ownership agency,Ownership agency,,,25,others,Third party,Third party,Third party,
26,privados,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,26,opt,Ownership agency,Ownership agency,Ownership agency,
27,externos,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,27,default,Undetermined,Attribute or characteristic,Undetermined,
28,cambridge,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,28,usage,Action,Action,Action,
29,comprometida,Reaction or attitude,Attribute or characteristic,Privacy & security risks,,,29,australians,Third party,Third party,Third party,
30,analytica,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,30,platform,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
31,sensible,Attribute or characteristic,Reaction or attitude,Undetermined,,,31,americans,Third party,Third party,Third party,
